iter	Passed	Remaining
0	154	154138
1	155	77766
2	157	52335
3	159	39721
4	160	32014
5	162	26852
6	163	23210
7	165	20569
8	167	18447
9	168	16716
10	170	15318
11	173	14243
12	174	13247
13	175	12394
14	177	11661
15	179	11062
16	181	10478
17	182	9974
18	184	9519
19	186	9160
20	188	8789
21	190	8446
22	191	8131
23	192	7834
24	194	7567
25	195	7327
26	196	7094
27	198	6882
28	199	6688
29	201	6517
30	203	6346
31	204	6183
32	205	6035
33	207	5887
34	208	5749
35	210	5625
36	211	5506
37	212	5390
38	214	5282
39	216	5187
40	217	5095
41	219	5005
42	220	4913
43	222	4828
44	224	4754
45	225	4675
46	226	4596
47	228	4523
48	229	4452
49	230	4384
50	232	4320
51	233	4258
52	234	4197
53	236	4141
54	237	4084
55	239	4032
56	240	3979
57	241	3928
58	243	3881
59	244	3833
60	246	3788
61	247	3744
62	248	3701
63	250	3661
64	251	3621
65	253	3584
66	254	3548
67	256	3512
68	257	3477
69	258	3440
70	260	3404
71	261	3374
72	263	3341
73	264	3309
74	266	3283
75	267	3258
76	269	3231
77	270	3201
78	272	3174
79	273	3148
80	275	3124
81	276	3099
82	277	3065
83	278	3041
84	280	3018
85	281	2996
86	284	2980
87	285	2959
88	287	2939
89	288	2918
90	289	2895
91	291	2877
92	293	2857
93	294	2836
94	295	2815
95	296	2796
96	298	2781
97	300	2763
98	301	2742
99	302	2726
100	304	2708
101	306	2697
102	308	2683
103	309	2666
104	310	2650
105	312	2634
106	313	2619
107	315	2603
108	316	2587
109	317	2571
110	319	2556
111	320	2543
112	322	2529
113	323	2515
114	325	2502
115	326	2487
116	327	2474
117	329	2461
118	330	2449
119	332	2437
120	333	2426
121	335	2412
122	336	2400
123	338	2388
124	339	2374
125	340	2363
126	341	2349
127	343	2339
128	344	2327
129	346	2317
130	347	2305
131	348	2294
132	350	2283
133	351	2273
134	353	2262
135	354	2251
136	355	2240
137	357	2231
138	358	2221
139	359	2210
140	361	2200
141	362	2188
142	363	2180
143	365	2172
144	366	2163
145	368	2154
146	369	2146
147	371	2137
148	373	2130
149	374	2121
150	375	2113
151	377	2104
152	378	2097
153	380	2089
154	382	2085
155	384	2078
156	386	2073
157	388	2070
158	390	2065
159	393	2063
160	394	2057
161	397	2054
162	398	2047
163	400	2039
164	402	2038
165	404	2031
166	406	2025
167	407	2017
168	409	2011
169	410	2004
170	412	1998
171	413	1990
172	415	1983
173	416	1978
174	418	1971
175	420	1967
176	421	1960
177	423	1956
178	425	1952
179	427	1945
180	428	1938
181	430	1932
182	431	1927
183	433	1921
184	434	1915
185	436	1908
186	437	1904
187	439	1899
188	441	1894
189	442	1887
190	444	1881
191	446	1879
192	448	1874
193	449	1869
194	451	1864
195	454	1863
196	456	1858
197	457	1853
198	459	1849
199	462	1848
200	463	1842
201	464	1836
202	466	1831
203	468	1828
204	470	1823
205	471	1818
206	473	1812
207	475	1808
208	476	1804
209	478	1798
210	479	1793
211	481	1788
212	482	1784
213	484	1778
214	485	1773
215	487	1768
216	488	1763
217	490	1758
218	491	1753
219	493	1748
220	494	1743
221	496	1738
222	497	1734
223	499	1730
224	500	1725
225	503	1722
226	506	1723
227	508	1720
228	509	1716
229	512	1716
230	515	1715
231	517	1714
232	520	1712
233	523	1712
234	527	1716
235	529	1714
236	532	1713
237	535	1714
238	538	1716
239	542	1718
240	544	1714
